NOMBRE;CAPITAL;BANDERA;POBLACION;MAPA
M�XICO;M�XICO D. F.;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/mexico_250.jpg;122 916 000;https://espanol.mapsofworld.com/wp-content/uploads/2011/11/mapa-de-mexico.jpg
MICRONESIA;PALIKIR;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Micronesia_250.jpg;105 000.;https://i.pinimg.com/originals/40/8a/d2/408ad233bf7fa71488c721434be3ef5a.jpg
MOLDAVIA;CHISINAU;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Moldavia_250.jpg;3 569 000;https://images.mapsofworld.com/wp-content/uploads/2014/08/moldova-political-map.jpg
M�NACO;M�NACO;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/monaco_250.jpg;39 000;https://images.mapsofworld.com/wp-content/uploads/2015/01/monaco-mapa-politico.jpg
MONGOLIA;ULAN BATOR;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/mongolia_250.jpg;3 131 000;https://images.mapsofworld.com/wp-content/uploads/2014/09/mongolia-political-map.jpg
MONTENEGRO;PODGORICA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Montenegro_250.jpg;622 000;https://images.mapsofworld.com/wp-content/uploads/2014/08/montenegro-political-map.jpg
MOZAMBIQUE;MAPUTO;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/mozambique_250.jpg;26 780 000;https://www.mapsofworld.com/mozambique/maps/mozambique-political-map.jpg
MYANMAR (BIRMANIA);NAYPYIDAW;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Birmania-Myanmar_250.jpg;53 247 000;https://images.mapsofworld.com/wp-content/uploads/2014/09/burma-political-map.jpg
NAMIBIA;WINDHOEK;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/namibia_250.jpg;2 350 000;https://www.mapsofworld.com/namibia/maps/namibia-map.jpg
NAURU;YAREN;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/nauru_250.jpg;11 000;https://i.pinimg.com/originals/17/d5/77/17d577cd038bd57c34f90545a8b467ea.jpg
NEPAL;KATMAND�;https://www.banderasdelmundo.net/wp-content/uploads/2019/08/nepal-bandera.jpg;28 633 000;https://images.mapsofworld.com/wp-content/uploads/2014/09/nepal-political-map.jpg
NICARAGUA;MANAGUA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/nicaragua_250.jpg;6 361 000;https://espanol.mapsofworld.com/wp-content/uploads/2011/09/mapa-de-nicaragua.jpg
N�GER;NIAMEY;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/niger_250.jpg;19 989 000;https://thumbs.dreamstime.com/z/mapa-pol%C3%ADtico-de-niger-103301859.jpg
NIGERIA;ABUYA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/nigeria_250.jpg;191 182 000;https://c7.alamy.com/compes/gcrcb1/vectores-mapa-administrativo-y-politico-de-la-republica-federal-de-nigeria-gcrcb1.jpg
NORUEGA;OSLO;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/noruega_250.jpg;5 265 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/mapa-de-noruega.jpg
NUEVA ZELANDA;WELLINGTON;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/nueva-zelanda_250.jpg; 4 731 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/12/nueva-zelanda-mapa.jpg
OM�N;MASCATE;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Oman_250.jpg;4 575 000;https://thumbs.dreamstime.com/z/sultanato-de-om%C3%A1n-mapa-del-vector-94864572.jpg
PA�SES BAJOS;AMSTERDAM;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/paises-bajos_250.jpg;17 095 000;https://images.mapsofworld.com/wp-content/uploads/2013/12/mapa-de-holanda1.jpg
PAKIST�N;ISLAMABAD;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/pakistan_250.jpg;201 576 000;https://previews.123rf.com/images/lesniewski/lesniewski1411/lesniewski141100108/33620378-mapa-pakist%C3%A1n.jpg
PALAOS;MELEKEOK;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/Palau_250.jpg;18 000;https://www.mapsofworld.com/palau/maps/palau-map.jpg
PALESTINA;RAMALA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/palestina_250.jpg;5  052 000 000;http://3.bp.blogspot.com/_Ssb71exUHBI/TSr3nlgMnpI/AAAAAAAADwM/7N4PBRlin9c/s400/Palestina%2B3.jpg
PANAM�;CIUDAD DE PANAM�;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/panama_250.jpg;3 842 000;https://images.mapsofworld.com/wp-content/uploads/2011/09/panama-mapa.jpg
PAP�A NUEVA GUINEA;PORT MORESBY;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/papua-nueva-guinea_250.jpg;8 246 000;https://previews.123rf.com/images/peterhermesfurian/peterhermesfurian1408/peterhermesfurian140800042/30642158-pap%C3%BAa-nueva-guinea-mapa-pol%C3%ADtico-con-el-capital-port-moresby-las-fronteras-nacionales-las-ciudades-m%C3%A1s-impor.jpg
PARAGUAY;ASUNCI�N;https://www.ngenespanol.com/wp-content/uploads/2018/08/%C2%BFSabes-por-qu%C3%A9-la-bandera-de-Paraguay-es-%C3%BAnica-en-Am%C3%A9rica.jpg;6 905 000;https://images.mapsofworld.com/wp-content/uploads/2011/09/paraguay-political-map.jpg
PER�;LIMA;https://www.hdfondos.net/file/1839/728x410/16:9/bandera-del-peru-escudo_2122175787.jpg;31 660 000;https://espanol.mapsofworld.com/wp-content/uploads/2011/09/mapa-del-peru.jpg
POLONIA;VARSOVIA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/polonia_250.jpg;38 370 000;https://images.mapsofworld.com/wp-content/uploads/2013/12/mapa-de-polonia1.jpg
PORTUGAL;LISBOA;https://www.geoenciclopedia.com/wp-content/uploads/2018/11/portugal_250.jpg;10 265 000;https://espanol.mapsofworld.com/wp-content/uploads/2013/05/portugal-mapa.jpg
